Name,Team,Games Played,Minutes,Offensive Rating,Defensive Rating,AST%,Assist/Turnover,Assist Ratio,OREB%,DREB%,REB%,Turnover Ratio,EFG%,TS%,USG%,Total Minutes
CATRINA FRIERSON,SEA,5,4.5,122.5,122.0,0.0,0.00,0.0,15.0,10.0,12.5,9.1,22.2,33.9,21.6,22.5
GORDANA GRUBIN,HOU,5,4.9,92.9,93.0,0.0,0.00,0.0,0.0,5.3,3.0,42.9,0.0,25.8,15.6,24.5
LINDSAY TAYLOR,PHO,5,5.4,82.4,94.2,16.7,2.00,25.0,0.0,11.5,5.7,12.5,30.0,30.0,10.9,27.0
JIA PERKINS,CHA,4,4.2,77.1,71.4,14.3,1.00,11.1,5.3,13.3,8.8,11.1,0.0,22.2,19.5,16.8
SHAUNZINSKI GORTMAN,WAS,4,5.8,70.3,120.6,22.2,1.00,50.0,0.0,14.3,9.5,50.0,0.0,0.0,5.0,23.2
TERA BJORKLUND,CHA,4,3.4,120.8,96.2,0.0,0.00,0.0,0.0,0.0,0.0,25.0,33.3,33.3,14.3,13.6
GWEN SLAUGHTER,MIN,3,2.5,42.9,100.0,0.0,0.00,0.0,0.0,11.1,5.9,0.0,0.0,53.2,11.8,7.5
MFON UDOKA,LAS,3,6.7,97.2,94.6,0.0,0.00,0.0,13.3,6.7,10.0,20.0,0.0,13.3,12.5,20.1
MONIQUE COKER,LAS,3,4.7,48.3,96.3,60.0,1.00,42.9,4.5,0.0,2.6,42.9,150.0,150.0,10.8,14.100000000000001
AMISHA CARTER,DET,2,6.7,84.6,103.7,0.0,0.00,0.0,0.0,28.6,21.1,75.0,0.0,56.8,14.8,13.4
JOCELYN PENN,SAN,1,2.9,75.0,85.7,0.0,0.00,0.0,0.0,25.0,20.0,0.0,100,100,25.0,2.9
STACEY THOMAS,DET,1,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
